,dataset_type,recall,precision,auroc,auprc,iteration,model_type,resampler_type,group,f1
0,artificial_train,0.6413043478260869,0.9516129032258065,0.3161729574773053,0.5210670887395928,0,SVM,CondensedNN,SVM_CondensedNN,0.7662337662337663
1,train,0.0730593607305936,0.16842105263157894,0.3427454877188294,0.04518355572999193,0,SVM,CondensedNN,SVM_CondensedNN,0.1019108280254777
2,val,0.08333333333333333,0.21052631578947367,0.2770061728395062,0.04258003191910943,0,SVM,CondensedNN,SVM_CondensedNN,0.11940298507462688
3,test,0.0425531914893617,0.07692307692307693,0.31898247631730275,0.043985551488640015,0,SVM,CondensedNN,SVM_CondensedNN,0.0547945205479452
0,artificial_train,1.0,0.8532110091743119,0.5439247311827957,0.6102729726910656,1,SVM,CondensedNN,SVM_CondensedNN,0.9207920792079208
1,train,0.1917808219178082,0.25301204819277107,0.3738864557108244,0.05137555642014694,1,SVM,CondensedNN,SVM_CondensedNN,0.21818181818181817
2,val,0.25,0.375,0.3086716524216524,0.0447525924689616,1,SVM,CondensedNN,SVM_CondensedNN,0.3
3,test,0.2765957446808511,0.29545454545454547,0.3392905783723253,0.04606896862604744,1,SVM,CondensedNN,SVM_CondensedNN,0.2857142857142857
0,artificial_train,1.0,0.8421052631578947,0.5749610591900312,0.6013552090728002,2,SVM,CondensedNN,SVM_CondensedNN,0.9142857142857143
1,train,0.0684931506849315,0.13274336283185842,0.38161602919256987,0.05062629743492887,2,SVM,CondensedNN,SVM_CondensedNN,0.09036144578313253
2,val,0.020833333333333332,0.0625,0.33606362773029436,0.046342555657031825,2,SVM,CondensedNN,SVM_CondensedNN,0.03125
3,test,0.02127659574468085,0.041666666666666664,0.3615961986622681,0.048164748975927305,2,SVM,CondensedNN,SVM_CondensedNN,0.028169014084507043
0,artificial_train,1.0,0.8461538461538461,0.5573276625908206,0.5780189780042306,3,SVM,CondensedNN,SVM_CondensedNN,0.9166666666666666
1,train,0.1278538812785388,0.2204724409448819,0.382380079578144,0.0508478633605205,3,SVM,CondensedNN,SVM_CondensedNN,0.16184971098265896
2,val,0.020833333333333332,0.0625,0.3339565527065528,0.04646613866776693,3,SVM,CondensedNN,SVM_CondensedNN,0.03125
3,test,0.10638297872340426,0.17857142857142858,0.3552707242516873,0.04761872579375063,3,SVM,CondensedNN,SVM_CondensedNN,0.13333333333333333
0,artificial_train,1.0,0.7357142857142858,0.6248381877022653,0.6207058989173123,4,SVM,CondensedNN,SVM_CondensedNN,0.8477366255144033
1,train,0.1689497716894977,0.2534246575342466,0.38830251385102266,0.05159055695399595,4,SVM,CondensedNN,SVM_CondensedNN,0.20273972602739726
2,val,0.08333333333333333,0.21052631578947367,0.3212547483380817,0.04536182336777374,4,SVM,CondensedNN,SVM_CondensedNN,0.11940298507462688
3,test,0.19148936170212766,0.2647058823529412,0.3523803758966133,0.04725161816454687,4,SVM,CondensedNN,SVM_CondensedNN,0.22222222222222224
0,artificial_train,1.0,0.6912751677852349,0.7058252427184466,0.6530482376734287,5,SVM,CondensedNN,SVM_CondensedNN,0.8174603174603174
1,train,0.1689497716894977,0.25170068027210885,0.4234648362858522,0.05832550324487983,5,SVM,CondensedNN,SVM_CondensedNN,0.20218579234972678
2,val,0.10416666666666667,0.23809523809523808,0.35346925451092115,0.05085766051337583,5,SVM,CondensedNN,SVM_CondensedNN,0.14492753623188404
3,test,0.2127659574468085,0.2702702702702703,0.4013498380799613,0.05808810193550608,5,SVM,CondensedNN,SVM_CondensedNN,0.23809523809523814
0,artificial_train,1.0,0.8373983739837398,0.6274618585298197,0.5791083495072369,6,SVM,CondensedNN,SVM_CondensedNN,0.911504424778761
1,train,0.1689497716894977,0.26618705035971224,0.3976882256912986,0.05266146543377509,6,SVM,CondensedNN,SVM_CondensedNN,0.20670391061452512
2,val,0.041666666666666664,0.11764705882352941,0.3300391737891738,0.04613313952887437,6,SVM,CondensedNN,SVM_CondensedNN,0.06153846153846154
3,test,0.1702127659574468,0.24242424242424243,0.3589177083018069,0.047906124057270655,6,SVM,CondensedNN,SVM_CondensedNN,0.19999999999999998
0,artificial_train,1.0,0.8333333333333334,0.6225225225225225,0.5745569367860531,7,SVM,CondensedNN,SVM_CondensedNN,0.9090909090909091
1,train,0.1689497716894977,0.26811594202898553,0.3931825551570618,0.0527318319205186,7,SVM,CondensedNN,SVM_CondensedNN,0.20728291316526612
2,val,0.0625,0.16666666666666666,0.33998100664767333,0.04700588048881042,7,SVM,CondensedNN,SVM_CondensedNN,0.09090909090909091
3,test,0.1702127659574468,0.25806451612903225,0.37144759541176114,0.049406619082193994,7,SVM,CondensedNN,SVM_CondensedNN,0.20512820512820512
0,artificial_train,1.0,0.7910447761194029,0.6457156591755798,0.5713540095431889,8,SVM,CondensedNN,SVM_CondensedNN,0.8833333333333333
1,train,0.1689497716894977,0.2605633802816901,0.40745805029372095,0.05309161928003238,8,SVM,CondensedNN,SVM_CondensedNN,0.20498614958448755
2,val,0.08333333333333333,0.2,0.34288936372269707,0.047283358798257305,8,SVM,CondensedNN,SVM_CondensedNN,0.11764705882352941
3,test,0.23404255319148937,0.3055555555555556,0.391543839472171,0.051392865698250266,8,SVM,CondensedNN,SVM_CondensedNN,0.26506024096385544
0,artificial_train,1.0,0.7883211678832117,0.6462401795735129,0.5562734677929424,9,SVM,CondensedNN,SVM_CondensedNN,0.8816326530612245
1,train,0.1780821917808219,0.2689655172413793,0.4166203922125313,0.054149270526108635,9,SVM,CondensedNN,SVM_CondensedNN,0.21428571428571427
2,val,0.14583333333333334,0.30434782608695654,0.3409306742640076,0.04719534766354796,9,SVM,CondensedNN,SVM_CondensedNN,0.19718309859154928
3,test,0.2553191489361702,0.32432432432432434,0.3930268454344602,0.05128576484625987,9,SVM,CondensedNN,SVM_CondensedNN,0.28571428571428575
0,artificial_train,1.0,0.6748466257668712,0.6826589595375723,0.5346432742460921,10,SVM,CondensedNN,SVM_CondensedNN,0.8058608058608058
1,train,0.182648401826484,0.27586206896551724,0.4288806870608275,0.05454157706159931,10,SVM,CondensedNN,SVM_CondensedNN,0.21978021978021978
2,val,0.25,0.42857142857142855,0.36585944919278257,0.04967219061851527,10,SVM,CondensedNN,SVM_CondensedNN,0.3157894736842105
3,test,0.2765957446808511,0.35135135135135137,0.40225780091401586,0.052364008626364714,10,SVM,CondensedNN,SVM_CondensedNN,0.30952380952380953
0,artificial_train,1.0,0.8222222222222222,0.6703296703296704,0.5332278010653668,11,SVM,CondensedNN,SVM_CondensedNN,0.9024390243902439
1,train,0.1872146118721461,0.2867132867132867,0.4240319592951809,0.05386775872676294,11,SVM,CondensedNN,SVM_CondensedNN,0.2265193370165746
2,val,0.25,0.42857142857142855,0.36912393162393164,0.049860858436077515,11,SVM,CondensedNN,SVM_CondensedNN,0.3157894736842105
3,test,0.2765957446808511,0.35135135135135137,0.39900426742532,0.05195999370887121,11,SVM,CondensedNN,SVM_CondensedNN,0.30952380952380953
0,artificial_train,1.0,0.7350993377483444,0.6950544294294294,0.5402401519178259,12,SVM,CondensedNN,SVM_CondensedNN,0.8473282442748091
1,train,0.1872146118721461,0.2827586206896552,0.4238405987705608,0.05382305241902667,12,SVM,CondensedNN,SVM_CondensedNN,0.22527472527472528
2,val,0.25,0.42857142857142855,0.3692278015194682,0.04984294728698115,12,SVM,CondensedNN,SVM_CondensedNN,0.3157894736842105
3,test,0.2765957446808511,0.35135135135135137,0.39398020641021764,0.051346264868842896,12,SVM,CondensedNN,SVM_CondensedNN,0.30952380952380953
0,artificial_train,1.0,0.676829268292683,0.7214789046472214,0.5405623490335969,13,SVM,CondensedNN,SVM_CondensedNN,0.8072727272727274
1,train,0.1872146118721461,0.2827586206896552,0.4255621476356885,0.05404599821769476,13,SVM,CondensedNN,SVM_CondensedNN,0.22527472527472528
2,val,0.25,0.42857142857142855,0.3666162155745489,0.04964459044626363,13,SVM,CondensedNN,SVM_CondensedNN,0.3157894736842105
3,test,0.2765957446808511,0.35135135135135137,0.4017735540691868,0.05229896159664519,13,SVM,CondensedNN,SVM_CondensedNN,0.30952380952380953
0,artificial_train,1.0,0.46835443037974683,0.8214771375148734,0.6082220074417835,14,SVM,CondensedNN,SVM_CondensedNN,0.6379310344827586
1,train,0.1872146118721461,0.2662337662337662,0.49875093766657064,0.0944084417255279,14,SVM,CondensedNN,SVM_CondensedNN,0.21983914209115282
2,val,0.2708333333333333,0.43333333333333335,0.45313983855650525,0.12346813738179184,14,SVM,CondensedNN,SVM_CondensedNN,0.33333333333333337
3,test,0.2765957446808511,0.30952380952380953,0.4677370539632578,0.0889051210778409,14,SVM,CondensedNN,SVM_CondensedNN,0.29213483146067415
0,artificial_train,1.0,0.6666666666666666,0.7553329023917259,0.5408278879212771,15,SVM,CondensedNN,SVM_CondensedNN,0.8
1,train,0.1917808219178082,0.2876712328767123,0.46014482164503245,0.0629692334429828,15,SVM,CondensedNN,SVM_CondensedNN,0.23013698630136986
2,val,0.22916666666666666,0.4230769230769231,0.3935185185185185,0.05598736650933715,15,SVM,CondensedNN,SVM_CondensedNN,0.29729729729729726
3,test,0.2765957446808511,0.3611111111111111,0.41460609545715926,0.05519993805972836,15,SVM,CondensedNN,SVM_CondensedNN,0.3132530120481928
0,artificial_train,1.0,0.7832167832167832,0.7416125541125541,0.5264957612742682,16,SVM,CondensedNN,SVM_CondensedNN,0.8784313725490196
1,train,0.1917808219178082,0.2916666666666667,0.4249045632874486,0.05412540863956605,16,SVM,CondensedNN,SVM_CondensedNN,0.23140495867768596
2,val,0.25,0.4444444444444444,0.3602504748338082,0.049055117781903454,16,SVM,CondensedNN,SVM_CondensedNN,0.32
3,test,0.2765957446808511,0.34210526315789475,0.405133016555189,0.05276496894920847,16,SVM,CondensedNN,SVM_CondensedNN,0.3058823529411765
0,artificial_train,1.0,0.5185185185185185,0.8002741553052756,0.5700766235227908,17,SVM,CondensedNN,SVM_CondensedNN,0.6829268292682926
1,train,0.1917808219178082,0.28187919463087246,0.4650255588075247,0.06313244993856448,17,SVM,CondensedNN,SVM_CondensedNN,0.22826086956521738
2,val,0.2708333333333333,0.4482758620689655,0.3943939933523267,0.055050928713910804,17,SVM,CondensedNN,SVM_CondensedNN,0.33766233766233766
3,test,0.2765957446808511,0.3333333333333333,0.4248660754819769,0.05639804660226701,17,SVM,CondensedNN,SVM_CondensedNN,0.3023255813953488
0,artificial_train,1.0,0.7,0.7701693227091633,0.5438396586457268,18,SVM,CondensedNN,SVM_CondensedNN,0.8235294117647058
1,train,0.1917808219178082,0.2896551724137931,0.42218654798139,0.0536984009238103,18,SVM,CondensedNN,SVM_CondensedNN,0.23076923076923078
2,val,0.25,0.4444444444444444,0.3537511870845204,0.04824995786075636,18,SVM,CondensedNN,SVM_CondensedNN,0.32
3,test,0.2765957446808511,0.34210526315789475,0.39682515662358886,0.05163733711992812,18,SVM,CondensedNN,SVM_CondensedNN,0.3058823529411765
0,artificial_train,1.0,0.6153846153846154,0.7890667761357417,0.5455551007301152,19,SVM,CondensedNN,SVM_CondensedNN,0.761904761904762
1,train,0.1963470319634703,0.2905405405405405,0.43857744673566773,0.05731641374090528,19,SVM,CondensedNN,SVM_CondensedNN,0.23433242506811988
2,val,0.25,0.4444444444444444,0.38072768281101615,0.05292041870550528,19,SVM,CondensedNN,SVM_CondensedNN,0.32
3,test,0.2765957446808511,0.3611111111111111,0.3995944432674555,0.052553773317390265,19,SVM,CondensedNN,SVM_CondensedNN,0.3132530120481928
0,artificial_train,1.0,0.37623762376237624,0.9022696145568382,0.7104484761754429,20,SVM,CondensedNN,SVM_CondensedNN,0.5467625899280576
1,train,0.2054794520547945,0.2777777777777778,0.4743569938444538,0.07525016792901544,20,SVM,CondensedNN,SVM_CondensedNN,0.23622047244094488
2,val,0.2708333333333333,0.3939393939393939,0.44017094017094016,0.12028936659104238,20,SVM,CondensedNN,SVM_CondensedNN,0.32098765432098764
3,test,0.2765957446808511,0.3023255813953488,0.43924215368784236,0.07506308003943865,20,SVM,CondensedNN,SVM_CondensedNN,0.2888888888888889
0,artificial_train,1.0,0.4523809523809524,0.828334276551594,0.5771214437035477,21,SVM,CondensedNN,SVM_CondensedNN,0.6229508196721312
1,train,0.2054794520547945,0.2903225806451613,0.45480829850571786,0.06186988123257218,21,SVM,CondensedNN,SVM_CondensedNN,0.24064171122994651
2,val,0.25,0.42857142857142855,0.39154499050332386,0.055350755371670834,21,SVM,CondensedNN,SVM_CondensedNN,0.3157894736842105
3,test,0.2765957446808511,0.34210526315789475,0.418570866499198,0.05722132588671369,21,SVM,CondensedNN,SVM_CondensedNN,0.3058823529411765
0,artificial_train,1.0,0.5615763546798029,0.7989740787956049,0.5482798988017252,22,SVM,CondensedNN,SVM_CondensedNN,0.7192429022082019
1,train,0.2054794520547945,0.29605263157894735,0.408463562868543,0.05221365988056199,22,SVM,CondensedNN,SVM_CondensedNN,0.24258760107816713
2,val,0.25,0.42857142857142855,0.35026412630579296,0.04812026767254028,22,SVM,CondensedNN,SVM_CondensedNN,0.3157894736842105
3,test,0.2765957446808511,0.35135135135135137,0.38488544535577013,0.050527124448241874,22,SVM,CondensedNN,SVM_CondensedNN,0.30952380952380953
0,artificial_train,1.0,0.3194444444444444,0.940297636416691,0.7734499948495192,23,SVM,CondensedNN,SVM_CondensedNN,0.4842105263157894
1,train,0.2146118721461187,0.23979591836734693,0.48997340436636005,0.09540349997911071,23,SVM,CondensedNN,SVM_CondensedNN,0.22650602409638554
2,val,0.2708333333333333,0.3333333333333333,0.4500237416904084,0.13964751993120547,23,SVM,CondensedNN,SVM_CondensedNN,0.29885057471264365
3,test,0.2765957446808511,0.26,0.45563088284252895,0.11584864377130069,23,SVM,CondensedNN,SVM_CondensedNN,0.268041237113402
0,artificial_train,1.0,0.5555555555555556,0.7856860530773575,0.5102916359456052,24,SVM,CondensedNN,SVM_CondensedNN,0.7142857142857143
1,train,0.2054794520547945,0.2980132450331126,0.43622545192397344,0.05687296897329272,24,SVM,CondensedNN,SVM_CondensedNN,0.24324324324324323
2,val,0.25,0.4444444444444444,0.37544515669515666,0.051596503458864656,24,SVM,CondensedNN,SVM_CondensedNN,0.32
3,test,0.2765957446808511,0.35135135135135137,0.4000938228261856,0.052623396215612385,24,SVM,CondensedNN,SVM_CondensedNN,0.30952380952380953
0,artificial_train,1.0,0.3569230769230769,0.8788480365495486,0.6302236962235623,25,SVM,CondensedNN,SVM_CondensedNN,0.5260770975056689
1,train,0.2146118721461187,0.2883435582822086,0.48280051604714563,0.0797053168602576,25,SVM,CondensedNN,SVM_CondensedNN,0.24607329842931938
2,val,0.2708333333333333,0.41935483870967744,0.4394586894586895,0.09233733292488787,25,SVM,CondensedNN,SVM_CondensedNN,0.3291139240506329
3,test,0.2765957446808511,0.30952380952380953,0.4485639054508035,0.07611079421601094,25,SVM,CondensedNN,SVM_CondensedNN,0.29213483146067415
0,artificial_train,1.0,0.6105263157894737,0.7915743962880946,0.5188257417984264,26,SVM,CondensedNN,SVM_CondensedNN,0.7581699346405228
1,train,0.2100456621004566,0.304635761589404,0.4122184042898159,0.05275322832947042,26,SVM,CondensedNN,SVM_CondensedNN,0.2486486486486486
