,dataset_type,recall,precision,auroc,auprc,iteration,model_type
0,artificial_train,1.0,0.908256880733945,0.5210616806361488,0.589559955214863,1,SVM
1,train,0.1963470319634703,0.2792207792207792,0.3996811585731602,0.0533045145655046,1,SVM
2,val,0.22916666666666666,0.4074074074074074,0.3658297720797721,0.050873452073304085,1,SVM
3,test,0.2553191489361702,0.3157894736842105,0.36863291062619163,0.049793150579640566,1,SVM
0,artificial_train,1.0,0.9528301886792453,0.46952048145991077,0.5547878311692388,2,SVM
1,train,0.2009132420091324,0.2913907284768212,0.380483174886819,0.05062126928373906,2,SVM
2,val,0.20833333333333334,0.38461538461538464,0.3334817188983856,0.04675624502011805,2,SVM
3,test,0.2553191489361702,0.3333333333333333,0.3497775491056566,0.04727990106113466,2,SVM
0,artificial_train,1.0,0.9454545454545454,0.5031316160903316,0.5617756531812664,3,SVM
1,train,0.2054794520547945,0.29411764705882354,0.39179710495881226,0.05158536566852742,3,SVM
2,val,0.25,0.42857142857142855,0.340693257359924,0.047208565470023306,3,SVM
3,test,0.2765957446808511,0.34210526315789475,0.3738990950637088,0.04951113579167978,3,SVM
0,artificial_train,1.0,0.9292035398230089,0.48244552058111384,0.5375966038901698,4,SVM
1,train,0.2054794520547945,0.29605263157894735,0.3919745483543692,0.051671950252834616,4,SVM
2,val,0.25,0.4444444444444444,0.3389274691358025,0.04709594379476529,4,SVM
3,test,0.2765957446808511,0.35135135135135137,0.37165945340637385,0.04931212842006444,4,SVM
0,artificial_train,0.9811320754716981,0.9541284403669725,0.38315257762590993,0.47204712802033294,5,SVM
1,train,0.2100456621004566,0.3087248322147651,0.45540047234736036,0.07199802581162634,5,SVM
2,val,0.25,0.5,0.4050925925925926,0.06704281403105042,5,SVM
3,test,0.2765957446808511,0.35135135135135137,0.42976907478587206,0.06909990097547136,5,SVM
0,artificial_train,0.9722222222222222,0.963302752293578,0.36296296296296293,0.46602472313037374,6,SVM
1,train,0.2100456621004566,0.3150684931506849,0.38928158388062445,0.05140861203800611,6,SVM
2,val,0.25,0.5217391304347826,0.34303774928774927,0.04755633449590571,6,SVM
3,test,0.2765957446808511,0.35135135135135137,0.36733149723071334,0.04896206782960743,6,SVM
0,artificial_train,0.9545454545454546,0.9375,0.351462174189447,0.43630050286830024,7,SVM
1,train,0.2146118721461187,0.3263888888888889,0.4228998008458831,0.05638105210649894,7,SVM
2,val,0.25,0.5217391304347826,0.37894705603038936,0.05331522237165911,7,SVM
3,test,0.2765957446808511,0.3611111111111111,0.39402560455192037,0.053531091768336536,7,SVM
0,artificial_train,0.6756756756756757,0.974025974025974,0.3394381223328591,0.42632002355722526,8,SVM
1,train,0.1872146118721461,0.36283185840707965,0.4129685375463267,0.05418522123045931,8,SVM
2,val,0.25,0.5217391304347826,0.369747150997151,0.051551295593435284,8,SVM
3,test,0.2765957446808511,0.3611111111111111,0.38146545201416415,0.05102501356036846,8,SVM
0,artificial_train,0.6403508771929824,0.9864864864864865,0.3473187686196624,0.42706879786250224,9,SVM
1,train,0.1872146118721461,0.36936936936936937,0.3913107012980507,0.050544611810805176,9,SVM
2,val,0.25,0.5454545454545454,0.34277065527065526,0.047626693850509196,9,SVM
3,test,0.2765957446808511,0.3611111111111111,0.37087255228352656,0.04925666968477144,9,SVM
0,artificial_train,0.9396551724137931,0.8195488721804511,0.3752322940326244,0.42614541680259055,10,SVM
1,train,0.2146118721461187,0.3357142857142857,0.39313245349243386,0.051470541414510095,10,SVM
2,val,0.25,0.5454545454545454,0.3400551994301994,0.047307698643046986,10,SVM
3,test,0.2765957446808511,0.3611111111111111,0.3727792742350413,0.04945526535007813,10,SVM
0,artificial_train,0.6218487394957983,0.961038961038961,0.3708103931227663,0.41565162783687065,11,SVM
1,train,0.1917808219178082,0.375,0.3918618196089565,0.05056458568443098,11,SVM
